Time,Basis date,Validity date,City,Persist. value,EC,C3
1,01-07-16,01-07-16,Bet Shean,30,24,27
2,30-06-16,01-07-16,Elat,15,17,14
1,01-07-16,01-07-16,Elat,15,16,13
2,30-06-16,01-07-16,En Gedi,27,36,30
1,01-07-16,01-07-16,En Gedi,27,36,28
2,30-06-16,01-07-16,Haifa,66,56,65
1,01-07-16,01-07-16,Haifa,66,58,65
2,30-06-16,01-07-16,Jerusalem,40,37,42
1,01-07-16,01-07-16,Jerusalem,40,36,38
2,30-06-16,01-07-16,Lod,54,40,48
1,01-07-16,01-07-16,Lod,54,38,50
2,30-06-16,01-07-16,Mizpe Ramon,22,11,25
1,01-07-16,01-07-16,Mizpe Ramon,22,10,31
2,30-06-16,01-07-16,Nazareth,57,47,53
1,01-07-16,01-07-16,Nazareth,57,49,52
2,30-06-16,01-07-16,Qazrin,23,33,46
1,01-07-16,01-07-16,Qazrin,23,32,42
2,30-06-16,01-07-16,Tel Aviv,73,56,61
1,01-07-16,01-07-16,Tel Aviv,73,57,61
2,30-06-16,01-07-16,Tiberias,28,31,32
1,01-07-16,01-07-16,Tiberias,28,31,36
2,30-06-16,01-07-16,Zefat,30,30,43
1,01-07-16,01-07-16,Zefat,30,28,46
2,01-07-16,02-07-16,Afula,39,43,52
1,02-07-16,02-07-16,Afula,39,43,45
2,01-07-16,02-07-16,Ashdod,70,77,81
1,02-07-16,02-07-16,Ashdod,70,77,81
2,01-07-16,02-07-16,Beer Sheva,38,40,41
1,02-07-16,02-07-16,Beer Sheva,38,37,35
2,01-07-16,02-07-16,Bet Shean,29,31,37
1,02-07-16,02-07-16,Bet Shean,29,31,33
2,01-07-16,02-07-16,Elat,14,14,17
1,02-07-16,02-07-16,Elat,14,14,16
2,01-07-16,02-07-16,En Gedi,26,33,33
1,02-07-16,02-07-16,En Gedi,26,35,25
2,01-07-16,02-07-16,Haifa,62,61,71
1,02-07-16,02-07-16,Haifa,62,72,69
2,01-07-16,02-07-16,Jerusalem,43,42,49
1,02-07-16,02-07-16,Jerusalem,43,41,39
2,01-07-16,02-07-16,Lod,52,48,56
1,02-07-16,02-07-16,Lod,52,47,49
2,01-07-16,02-07-16,Mizpe Ramon,27,13,32
1,02-07-16,02-07-16,Mizpe Ramon,27,12,29
2,01-07-16,02-07-16,Nazareth,57,57,63
1,02-07-16,02-07-16,Nazareth,57,58,59
2,01-07-16,02-07-16,Qazrin,42,42,52
1,02-07-16,02-07-16,Qazrin,42,43,44
2,01-07-16,02-07-16,Tel Aviv,67,59,64
1,02-07-16,02-07-16,Tel Aviv,67,58,63
2,01-07-16,02-07-16,Tiberias,32,37,43
1,02-07-16,02-07-16,Tiberias,32,37,33
2,01-07-16,02-07-16,Zefat,34,36,46
1,02-07-16,02-07-16,Zefat,34,38,48
2,02-07-16,03-07-16,Afula,42,34,48
1,03-07-16,03-07-16,Afula,42,32,42
2,02-07-16,03-07-16,Ashdod,73,84,89
1,03-07-16,03-07-16,Ashdod,73,84,86
2,02-07-16,03-07-16,Beer Sheva,35,32,35
1,03-07-16,03-07-16,Beer Sheva,35,31,40
2,02-07-16,03-07-16,Bet Shean,32,24,32
1,03-07-16,03-07-16,Bet Shean,32,22,30
2,02-07-16,03-07-16,Elat,14,17,15
1,03-07-16,03-07-16,Elat,14,17,16
2,02-07-16,03-07-16,En Gedi,36,41,27
1,03-07-16,03-07-16,En Gedi,36,40,26
2,02-07-16,03-07-16,Haifa,68,71,72
1,03-07-16,03-07-16,Haifa,68,70,66
2,02-07-16,03-07-16,Jerusalem,48,33,46
1,03-07-16,03-07-16,Jerusalem,48,31,41
2,02-07-16,03-07-16,Lod,55,42,59
1,03-07-16,03-07-16,Lod,55,38,51
2,02-07-16,03-07-16,Mizpe Ramon,27,16,25
1,03-07-16,03-07-16,Mizpe Ramon,27,15,26
2,02-07-16,03-07-16,Nazareth,66,51,60
1,03-07-16,03-07-16,Nazareth,66,47,51
2,02-07-16,03-07-16,Qazrin,48,34,47
1,03-07-16,03-07-16,Qazrin,48,33,31
2,02-07-16,03-07-16,Tel Aviv,72,59,68
1,03-07-16,03-07-16,Tel Aviv,72,61,67
2,02-07-16,03-07-16,Tiberias,37,34,45
1,03-07-16,03-07-16,Tiberias,37,33,30
2,02-07-16,03-07-16,Zefat,47,33,44
1,03-07-16,03-07-16,Zefat,47,33,42
2,03-07-16,04-07-16,Afula,36,39,50
1,04-07-16,04-07-16,Afula,36,39,52
2,03-07-16,04-07-16,Ashdod,74,82,78
1,04-07-16,04-07-16,Ashdod,74,83,80
2,03-07-16,04-07-16,Beer Sheva,29,36,45
1,04-07-16,04-07-16,Beer Sheva,29,36,47
2,03-07-16,04-07-16,Bet Shean,27,26,37
1,04-07-16,04-07-16,Bet Shean,27,25,38
2,03-07-16,04-07-16,Elat,17,18,24
1,04-07-16,04-07-16,Elat,17,18,15
2,03-07-16,04-07-16,En Gedi,37,42,31
1,04-07-16,04-07-16,En Gedi,37,41,29
2,03-07-16,04-07-16,Haifa,64,72,67
1,04-07-16,04-07-16,Haifa,64,72,70
2,03-07-16,04-07-16,Jerusalem,29,37,49
1,04-07-16,04-07-16,Jerusalem,29,41,51
2,03-07-16,04-07-16,Lod,54,46,55
1,04-07-16,04-07-16,Lod,54,44,54
2,03-07-16,04-07-16,Mizpe Ramon,26,9,31
1,04-07-16,04-07-16,Mizpe Ramon,26,14,34
2,03-07-16,04-07-16,Nazareth,51,54,61
1,04-07-16,04-07-16,Nazareth,51,55,57
2,03-07-16,04-07-16,Qazrin,39,36,46
1,04-07-16,04-07-16,Qazrin,39,36,48
2,03-07-16,04-07-16,Tel Aviv,72,62,60
1,04-07-16,04-07-16,Tel Aviv,72,59,68
2,03-07-16,04-07-16,Tiberias,31,35,39
1,04-07-16,04-07-16,Tiberias,31,36,40
2,03-07-16,04-07-16,Zefat,40,34,39
1,04-07-16,04-07-16,Zefat,40,34,44
2,04-07-16,05-07-16,Afula,39,46,47
1,05-07-16,05-07-16,Afula,39,45,47
2,04-07-16,05-07-16,Ashdod,71,82,81
1,05-07-16,05-07-16,Ashdod,71,77,79
2,04-07-16,05-07-16,Beer Sheva,43,43,43
1,05-07-16,05-07-16,Beer Sheva,43,45,41
2,04-07-16,05-07-16,Bet Shean,31,33,37
1,05-07-16,05-07-16,Bet Shean,31,35,31
2,04-07-16,05-07-16,Elat,15,19,22
1,05-07-16,05-07-16,Elat,15,19,22
2,04-07-16,05-07-16,En Gedi,36,43,39
1,05-07-16,05-07-16,En Gedi,36,42,35
2,04-07-16,05-07-16,Haifa,65,68,63
1,05-07-16,05-07-16,Haifa,65,69,63
2,04-07-16,05-07-16,Jerusalem,49,47,51
1,05-07-16,05-07-16,Jerusalem,49,46,51
2,04-07-16,05-07-16,Lod,58,45,48
1,05-07-16,05-07-16,Lod,58,45,53
2,04-07-16,05-07-16,Mizpe Ramon,22,15,34
1,05-07-16,05-07-16,Mizpe Ramon,22,14,37
2,04-07-16,05-07-16,Nazareth,60,55,55
1,05-07-16,05-07-16,Nazareth,60,58,54
2,04-07-16,05-07-16,Qazrin,36,41,48
1,05-07-16,05-07-16,Qazrin,36,46,47
2,04-07-16,05-07-16,Tel Aviv,71,57,58
1,05-07-16,05-07-16,Tel Aviv,71,58,62
2,04-07-16,05-07-16,Tiberias,31,39,40
1,05-07-16,05-07-16,Tiberias,31,42,38
2,04-07-16,05-07-16,Zefat,36,37,48
1,05-07-16,05-07-16,Zefat,36,42,46
2,05-07-16,06-07-16,Afula,46,39,46
1,06-07-16,06-07-16,Afula,46,37,42
2,05-07-16,06-07-16,Ashdod,66,85,89
1,06-07-16,06-07-16,Ashdod,66,83,86
2,05-07-16,06-07-16,Beer Sheva,45,35,36
1,06-07-16,06-07-16,Beer Sheva,45,31,39
2,05-07-16,06-07-16,Bet Shean,37,29,32
1,06-07-16,06-07-16,Bet Shean,37,28,27
2,05-07-16,06-07-16,Elat,25,12,19
1,06-07-16,06-07-16,Elat,25,11,19
2,05-07-16,06-07-16,En Gedi,32,34,28
1,06-07-16,06-07-16,En Gedi,32,34,30
2,05-07-16,06-07-16,Haifa,64,71,69
1,06-07-16,06-07-16,Haifa,64,69,68
2,05-07-16,06-07-16,Jerusalem,53,35,43
1,06-07-16,06-07-16,Jerusalem,53,32,42
2,05-07-16,06-07-16,Lod,56,40,53
1,06-07-16,06-07-16,Lod,56,43,53
2,05-07-16,06-07-16,Mizpe Ramon,33,17,23
1,06-07-16,06-07-16,Mizpe Ramon,33,16,23
2,05-07-16,06-07-16,Nazareth,61,51,57
1,06-07-16,06-07-16,Nazareth,61,50,54
2,05-07-16,06-07-16,Qazrin,44,38,42
1,06-07-16,06-07-16,Qazrin,44,39,32
2,05-07-16,06-07-16,Tel Aviv,65,57,70
1,06-07-16,06-07-16,Tel Aviv,65,58,67
2,05-07-16,06-07-16,Tiberias,40,37,33
1,06-07-16,06-07-16,Tiberias,40,37,29
2,05-07-16,06-07-16,Zefat,51,35,40
1,06-07-16,06-07-16,Zefat,51,36,30
2,06-07-16,07-07-16,Afula,37,29,41
1,07-07-16,07-07-16,Afula,37,27,44
2,06-07-16,07-07-16,Ashdod,74,84,85
1,07-07-16,07-07-16,Ashdod,74,84,84
2,06-07-16,07-07-16,Beer Sheva,30,30,32
1,07-07-16,07-07-16,Beer Sheva,30,27,25
2,06-07-16,07-07-16,Bet Shean,28,25,28
1,07-07-16,07-07-16,Bet Shean,28,22,28
2,06-07-16,07-07-16,Elat,19,13,16
1,07-07-16,07-07-16,Elat,19,14,13
2,06-07-16,07-07-16,En Gedi,27,36,23
1,07-07-16,07-07-16,En Gedi,27,35,24
2,06-07-16,07-07-16,Haifa,70,66,62
1,07-07-16,07-07-16,Haifa,70,65,69
2,06-07-16,07-07-16,Jerusalem,36,32,38
1,07-07-16,07-07-16,Jerusalem,36,29,29
2,06-07-16,07-07-16,Lod,54,38,50
1,07-07-16,07-07-16,Lod,54,37,44
2,06-07-16,07-07-16,Mizpe Ramon,26,24,22
1,07-07-16,07-07-16,Mizpe Ramon,26,17,25
2,06-07-16,07-07-16,Nazareth,61,41,51
1,07-07-16,07-07-16,Nazareth,61,38,57
2,06-07-16,07-07-16,Qazrin,45,33,39
1,07-07-16,07-07-16,Qazrin,45,28,41
2,06-07-16,07-07-16,Tel Aviv,72,56,67
1,07-07-16,07-07-16,Tel Aviv,72,55,66
2,06-07-16,07-07-16,Tiberias,35,31,23
1,07-07-16,07-07-16,Tiberias,35,26,32
2,06-07-16,07-07-16,Zefat,42,32,33
1,07-07-16,07-07-16,Zefat,42,26,40
2,07-07-16,08-07-16,Afula,28,38,38
1,08-07-16,08-07-16,Afula,28,38,41
2,07-07-16,08-07-16,Ashdod,75,73,73
1,08-07-16,08-07-16,Ashdod,75,76,80
2,07-07-16,08-07-16,Beer Sheva,28,33,33
1,08-07-16,08-07-16,Beer Sheva,28,31,38
2,07-07-16,08-07-16,Bet Shean,21,27,27
1,08-07-16,08-07-16,Bet Shean,21,29,32
2,07-07-16,08-07-16,Elat,17,18,18
1,08-07-16,08-07-16,Elat,17,19,20
2,07-07-16,08-07-16,En Gedi,26,36,36
1,08-07-16,08-07-16,En Gedi,26,36,24
2,07-07-16,08-07-16,Haifa,65,63,63
1,08-07-16,08-07-16,Haifa,65,63,59
2,07-07-16,08-07-16,Jerusalem,34,39,39
1,08-07-16,08-07-16,Jerusalem,34,40,45
2,07-07-16,08-07-16,Lod,49,43,43
1,08-07-16,08-07-16,Lod,49,43,48
2,07-07-16,08-07-16,Mizpe Ramon,19,15,15
1,08-07-16,08-07-16,Mizpe Ramon,19,15,25
2,07-07-16,08-07-16,Nazareth,45,50,50
1,08-07-16,08-07-16,Nazareth,45,48,46
2,07-07-16,08-07-16,Qazrin,25,39,39
1,08-07-16,08-07-16,Qazrin,25,40,41
2,07-07-16,08-07-16,Tel Aviv,71,56,56
1,08-07-16,08-07-16,Tel Aviv,71,54,63
2,07-07-16,08-07-16,Tiberias,21,36,36
1,08-07-16,08-07-16,Tiberias,21,35,28
2,07-07-16,08-07-16,Zefat,28,31,31
1,08-07-16,08-07-16,Zefat,28,31,36
2,08-07-16,09-07-16,Afula,45,39,39
1,09-07-16,09-07-16,Afula,45,41,39
2,08-07-16,09-07-16,Ashdod,68,76,80
1,09-07-16,09-07-16,Ashdod,68,75,73
2,08-07-16,09-07-16,Beer Sheva,37,31,28
1,09-07-16,09-07-16,Beer Sheva,37,33,23
2,08-07-16,09-07-16,Bet Shean,30,27,26
1,09-07-16,09-07-16,Bet Shean,30,28,25
2,08-07-16,09-07-16,Elat,17,17,12
1,09-07-16,09-07-16,Elat,17,18,12
2,08-07-16,09-07-16,En Gedi,32,31,24
1,09-07-16,09-07-16,En Gedi,32,32,20
2,08-07-16,09-07-16,Haifa,63,65,65
1,09-07-16,09-07-16,Haifa,63,64,67
2,08-07-16,09-07-16,Jerusalem,51,33,35
1,09-07-16,09-07-16,Jerusalem,51,34,27
2,08-07-16,09-07-16,Lod,51,43,49
1,09-07-16,09-07-16,Lod,51,42,39
2,08-07-16,09-07-16,Mizpe Ramon,22,16,27
1,09-07-16,09-07-16,Mizpe Ramon,22,16,19
2,08-07-16,09-07-16,Nazareth,58,53,52
1,09-07-16,09-07-16,Nazareth,58,53,55
2,08-07-16,09-07-16,Qazrin,38,39,29
1,09-07-16,09-07-16,Qazrin,38,41,35
2,08-07-16,09-07-16,Tel Aviv,63,52,64
1,09-07-16,09-07-16,Tel Aviv,63,52,57
2,08-07-16,09-07-16,Tiberias,28,38,19
1,09-07-16,09-07-16,Tiberias,28,39,27
2,08-07-16,09-07-16,Zefat,33,37,26
1,09-07-16,09-07-16,Zefat,33,40,31
2,09-07-16,10-07-16,Afula,45,41,41
1,10-07-16,10-07-16,Afula,45,44,33
2,09-07-16,10-07-16,Ashdod,71,83,83
1,10-07-16,10-07-16,Ashdod,71,82,83
2,09-07-16,10-07-16,Beer Sheva,22,35,32
1,10-07-16,10-07-16,Beer Sheva,22,35,31
2,09-07-16,10-07-16,Bet Shean,35,29,23
1,10-07-16,10-07-16,Bet Shean,35,31,24
2,09-07-16,10-07-16,Elat,17,14,16
1,10-07-16,10-07-16,Elat,17,15,15
2,09-07-16,10-07-16,En Gedi,35,37,15
1,10-07-16,10-07-16,En Gedi,35,31,19
2,09-07-16,10-07-16,Haifa,62,72,65
1,10-07-16,10-07-16,Haifa,62,72,59
2,09-07-16,10-07-16,Jerusalem,41,37,32
1,10-07-16,10-07-16,Jerusalem,41,34,33
2,09-07-16,10-07-16,Lod,54,47,48
1,10-07-16,10-07-16,Lod,54,48,46
2,09-07-16,10-07-16,Mizpe Ramon,15,15,21
1,10-07-16,10-07-16,Mizpe Ramon,15,15,21
2,09-07-16,10-07-16,Nazareth,59,55,53
1,10-07-16,10-07-16,Nazareth,59,54,45
2,09-07-16,10-07-16,Qazrin,45,36,44
1,10-07-16,10-07-16,Qazrin,45,38,31
2,09-07-16,10-07-16,Tel Aviv,66,62,66
1,10-07-16,10-07-16,Tel Aviv,66,62,64
2,09-07-16,10-07-16,Tiberias,40,35,31
1,10-07-16,10-07-16,Tiberias,40,35,22
2,09-07-16,10-07-16,Zefat,48,31,38
1,10-07-16,10-07-16,Zefat,48,32,29
2,10-07-16,11-07-16,Afula,41,40,44
1,11-07-16,11-07-16,Afula,41,41,40
2,10-07-16,11-07-16,Ashdod,75,80,83
1,11-07-16,11-07-16,Ashdod,75,82,84
2,10-07-16,11-07-16,Beer Sheva,37,30,36
1,11-07-16,11-07-16,Beer Sheva,37,28,30
2,10-07-16,11-07-16,Bet Shean,32,26,35
1,11-07-16,11-07-16,Bet Shean,32,28,30
2,10-07-16,11-07-16,Elat,15,15,13
1,11-07-16,11-07-16,Elat,15,16,14
2,10-07-16,11-07-16,En Gedi,32,32,17
1,11-07-16,11-07-16,En Gedi,32,32,19
2,10-07-16,11-07-16,Haifa,70,69,66
1,11-07-16,11-07-16,Haifa,70,69,61
2,10-07-16,11-07-16,Jerusalem,49,32,41
1,11-07-16,11-07-16,Jerusalem,49,30,37
2,10-07-16,11-07-16,Lod,61,42,51
1,11-07-16,11-07-16,Lod,61,42,52
2,10-07-16,11-07-16,Mizpe Ramon,17,20,19
1,11-07-16,11-07-16,Mizpe Ramon,17,14,18
2,10-07-16,11-07-16,Nazareth,64,50,55
1,11-07-16,11-07-16,Nazareth,64,51,50
2,10-07-16,11-07-16,Qazrin,40,37,33
1,11-07-16,11-07-16,Qazrin,40,38,43
2,10-07-16,11-07-16,Tel Aviv,72,59,67
1,11-07-16,11-07-16,Tel Aviv,72,60,67
2,10-07-16,11-07-16,Tiberias,32,33,40
1,11-07-16,11-07-16,Tiberias,32,36,31
2,10-07-16,11-07-16,Zefat,41,28,40
1,11-07-16,11-07-16,Zefat,41,32,41
2,11-07-16,12-07-16,Afula,42,42,35
1,12-07-16,12-07-16,Afula,42,40,26
2,11-07-16,12-07-16,Ashdod,74,80,83
1,12-07-16,12-07-16,Ashdod,74,79,81
2,11-07-16,12-07-16,Beer Sheva,26,32,31
1,12-07-16,12-07-16,Beer Sheva,26,31,27
2,11-07-16,12-07-16,Bet Shean,31,24,29
1,12-07-16,12-07-16,Bet Shean,31,23,18
2,11-07-16,12-07-16,Elat,16,13,12
1,12-07-16,12-07-16,Elat,16,15,13
2,11-07-16,12-07-16,En Gedi,21,27,18
1,12-07-16,12-07-16,En Gedi,21,28,15
2,11-07-16,12-07-16,Haifa,64,73,65
1,12-07-16,12-07-16,Haifa,64,72,55
2,11-07-16,12-07-16,Jerusalem,37,31,37
1,12-07-16,12-07-16,Jerusalem,37,32,30
2,11-07-16,12-07-16,Lod,46,41,45
1,12-07-16,12-07-16,Lod,46,39,42
2,11-07-16,12-07-16,Mizpe Ramon,25,17,17
1,12-07-16,12-07-16,Mizpe Ramon,25,14,16
2,11-07-16,12-07-16,Nazareth,60,50,53
1,12-07-16,12-07-16,Nazareth,60,48,39
2,11-07-16,12-07-16,Qazrin,41,33,21
1,12-07-16,12-07-16,Qazrin,41,36,30
2,11-07-16,12-07-16,Tel Aviv,70,59,65
1,12-07-16,12-07-16,Tel Aviv,70,57,59
2,11-07-16,12-07-16,Tiberias,40,37,29
1,12-07-16,12-07-16,Tiberias,40,35,29
2,11-07-16,12-07-16,Zefat,41,29,25
1,12-07-16,12-07-16,Zefat,41,26,25
2,12-07-16,13-07-16,Afula,38,36,37
1,13-07-16,13-07-16,Afula,38,35,35
2,12-07-16,13-07-16,Ashdod,76,82,83
1,13-07-16,13-07-16,Ashdod,76,79,82
2,12-07-16,13-07-16,Beer Sheva,35,28,23
1,13-07-16,13-07-16,Beer Sheva,35,28,33
2,12-07-16,13-07-16,Bet Shean,28,23,26
1,13-07-16,13-07-16,Bet Shean,28,22,26
2,12-07-16,13-07-16,Elat,15,17,11
1,13-07-16,13-07-16,Elat,15,16,10
2,12-07-16,13-07-16,En Gedi,29,24,14
1,13-07-16,13-07-16,En Gedi,29,25,18
2,12-07-16,13-07-16,Haifa,62,70,59
1,13-07-16,13-07-16,Haifa,62,69,65
2,12-07-16,13-07-16,Jerusalem,40,32,35
1,13-07-16,13-07-16,Jerusalem,40,27,25
2,12-07-16,13-07-16,Lod,56,43,38
1,13-07-16,13-07-16,Lod,56,38,40
2,12-07-16,13-07-16,Mizpe Ramon,13,8,20
1,13-07-16,13-07-16,Mizpe Ramon,13,9,16
2,12-07-16,13-07-16,Nazareth,60,46,50
1,13-07-16,13-07-16,Nazareth,60,45,49
2,12-07-16,13-07-16,Qazrin,38,28,26
1,13-07-16,13-07-16,Qazrin,38,33,37
2,12-07-16,13-07-16,Tel Aviv,72,60,61
1,13-07-16,13-07-16,Tel Aviv,72,56,58
2,12-07-16,13-07-16,Tiberias,32,30,22
1,13-07-16,13-07-16,Tiberias,32,30,21
2,12-07-16,13-07-16,Zefat,32,26,29
1,13-07-16,13-07-16,Zefat,32,26,38
2,13-07-16,14-07-16,Afula,35,38,44
1,14-07-16,14-07-16,Afula,35,43,45
2,13-07-16,14-07-16,Ashdod,75,80,81
1,14-07-16,14-07-16,Ashdod,75,80,80
2,13-07-16,14-07-16,Beer Sheva,26,31,40
1,14-07-16,14-07-16,Beer Sheva,26,33,35
2,13-07-16,14-07-16,Bet Shean,31,25,36
1,14-07-16,14-07-16,Bet Shean,31,29,32
2,13-07-16,14-07-16,Elat,13,12,12
1,14-07-16,14-07-16,Elat,13,13,11
2,13-07-16,14-07-16,En Gedi,23,26,31
1,14-07-16,14-07-16,En Gedi,23,29,21
2,13-07-16,14-07-16,Haifa,65,71,66
1,14-07-16,14-07-16,Haifa,65,71,68
2,13-07-16,14-07-16,Jerusalem,36,35,43
1,14-07-16,14-07-16,Jerusalem,36,37,38
2,13-07-16,14-07-16,Lod,52,40,54
1,14-07-16,14-07-16,Lod,52,43,50
2,13-07-16,14-07-16,Mizpe Ramon,12,8,27
1,14-07-16,14-07-16,Mizpe Ramon,12,9,22
2,13-07-16,14-07-16,Nazareth,54,52,59
1,14-07-16,14-07-16,Nazareth,54,54,58
2,13-07-16,14-07-16,Qazrin,38,28,47
1,14-07-16,14-07-16,Qazrin,38,36,43
2,13-07-16,14-07-16,Tel Aviv,70,58,64
1,14-07-16,14-07-16,Tel Aviv,70,59,65
2,13-07-16,14-07-16,Tiberias,32,31,41
1,14-07-16,14-07-16,Tiberias,32,32,28
2,13-07-16,14-07-16,Zefat,23,26,44
1,14-07-16,14-07-16,Zefat,23,27,37
2,14-07-16,15-07-16,Afula,44,37,36
1,15-07-16,15-07-16,Afula,44,36,34
2,14-07-16,15-07-16,Ashdod,73,79,79
1,15-07-16,15-07-16,Ashdod,73,77,79
2,14-07-16,15-07-16,Beer Sheva,35,34,38
1,15-07-16,15-07-16,Beer Sheva,35,34,33
2,14-07-16,15-07-16,Bet Shean,32,22,31
1,15-07-16,15-07-16,Bet Shean,32,22,27
2,14-07-16,15-07-16,Elat,12,18,14
1,15-07-16,15-07-16,Elat,12,17,15
2,14-07-16,15-07-16,En Gedi,21,30,19
1,15-07-16,15-07-16,En Gedi,21,28,22
2,14-07-16,15-07-16,Haifa,66,70,61
1,15-07-16,15-07-16,Haifa,66,69,63
2,14-07-16,15-07-16,Jerusalem,38,34,33
1,15-07-16,15-07-16,Jerusalem,38,35,25
2,14-07-16,15-07-16,Lod,55,40,46
1,15-07-16,15-07-16,Lod,55,40,39
2,14-07-16,15-07-16,Mizpe Ramon,25,6,23
1,15-07-16,15-07-16,Mizpe Ramon,25,21,11
2,14-07-16,15-07-16,Nazareth,66,46,54
1,15-07-16,15-07-16,Nazareth,66,44,43
2,14-07-16,15-07-16,Qazrin,46,29,41
1,15-07-16,15-07-16,Qazrin,46,30,29
2,14-07-16,15-07-16,Tel Aviv,71,57,61
1,15-07-16,15-07-16,Tel Aviv,71,56,57
2,14-07-16,15-07-16,Tiberias,39,31,36
1,15-07-16,15-07-16,Tiberias,39,30,28
2,14-07-16,15-07-16,Zefat,41,23,43
1,15-07-16,15-07-16,Zefat,41,24,27
2,15-07-16,16-07-16,Afula,35,42,41
1,16-07-16,16-07-16,Afula,35,42,34
2,15-07-16,16-07-16,Ashdod,73,79,77
1,16-07-16,16-07-16,Ashdod,73,78,71
2,15-07-16,16-07-16,Beer Sheva,38,36,37
1,16-07-16,16-07-16,Beer Sheva,38,34,21
2,15-07-16,16-07-16,Bet Shean,32,27,30
1,16-07-16,16-07-16,Bet Shean,32,29,21
2,15-07-16,16-07-16,Elat,15,16,11
1,16-07-16,16-07-16,Elat,15,12,11
2,15-07-16,16-07-16,En Gedi,28,36,18
1,16-07-16,16-07-16,En Gedi,28,35,15
2,15-07-16,16-07-16,Haifa,64,70,67
1,16-07-16,16-07-16,Haifa,64,70,64
2,15-07-16,16-07-16,Jerusalem,32,42,40
1,16-07-16,16-07-16,Jerusalem,32,42,31
2,15-07-16,16-07-16,Lod,53,43,47
1,16-07-16,16-07-16,Lod,53,43,39
2,15-07-16,16-07-16,Mizpe Ramon,16,33,14
1,16-07-16,16-07-16,Mizpe Ramon,16,29,17
2,15-07-16,16-07-16,Nazareth,58,53,54
1,16-07-16,16-07-16,Nazareth,58,53,45
2,15-07-16,16-07-16,Qazrin,40,32,40
1,16-07-16,16-07-16,Qazrin,40,43,29
2,15-07-16,16-07-16,Tel Aviv,70,59,66
1,16-07-16,16-07-16,Tel Aviv,70,56,56
2,15-07-16,16-07-16,Tiberias,41,32,28
1,16-07-16,16-07-16,Tiberias,41,33,34
2,15-07-16,16-07-16,Zefat,42,26,35
1,16-07-16,16-07-16,Zefat,42,28,30
2,16-07-16,17-07-16,Afula,37,34,51
1,17-07-16,17-07-16,Afula,37,36,51
2,16-07-16,17-07-16,Ashdod,71,79,82
1,17-07-16,17-07-16,Ashdod,71,78,79
2,16-07-16,17-07-16,Beer Sheva,33,31,50
1,17-07-16,17-07-16,Beer Sheva,33,30,43
2,16-07-16,17-07-16,Bet Shean,32,26,38
1,17-07-16,17-07-16,Bet Shean,32,27,37
2,16-07-16,17-07-16,Elat,11,19,16
1,17-07-16,17-07-16,Elat,11,17,8
2,16-07-16,17-07-16,En Gedi,28,33,36
1,17-07-16,17-07-16,En Gedi,28,33,29
2,16-07-16,17-07-16,Haifa,65,68,66
1,17-07-16,17-07-16,Haifa,65,68,67
2,16-07-16,17-07-16,Jerusalem,43,35,53
1,17-07-16,17-07-16,Jerusalem,43,35,51
2,16-07-16,17-07-16,Lod,55,36,53
1,17-07-16,17-07-16,Lod,55,38,56
2,16-07-16,17-07-16,Mizpe Ramon,20,35,35
1,17-07-16,17-07-16,Mizpe Ramon,20,37,43
2,16-07-16,17-07-16,Nazareth,59,50,58
1,17-07-16,17-07-16,Nazareth,59,51,60
2,16-07-16,17-07-16,Qazrin,44,33,49
1,17-07-16,17-07-16,Qazrin,44,36,47
2,16-07-16,17-07-16,Tel Aviv,72,55,62
1,17-07-16,17-07-16,Tel Aviv,72,55,64
2,16-07-16,17-07-16,Tiberias,44,37,40
1,17-07-16,17-07-16,Tiberias,44,34,50
2,16-07-16,17-07-16,Zefat,50,27,44
1,17-07-16,17-07-16,Zefat,50,28,41
2,17-07-16,18-07-16,Afula,41,0,0
1,18-07-16,18-07-16,Afula,41,43,43
2,17-07-16,18-07-16,Ashdod,72,0,0
1,18-07-16,18-07-16,Ashdod,72,73,73
2,17-07-16,18-07-16,Beer Sheva,38,0,0
1,18-07-16,18-07-16,Beer Sheva,38,43,38
2,17-07-16,18-07-16,Bet Shean,31,0,0
1,18-07-16,18-07-16,Bet Shean,31,32,33
2,17-07-16,18-07-16,Elat,9,0,0
1,18-07-16,18-07-16,Elat,9,30,23
2,17-07-16,18-07-16,En Gedi,22,0,0
1,18-07-16,18-07-16,En Gedi,22,48,35
2,17-07-16,18-07-16,Haifa,63,0,0
1,18-07-16,18-07-16,Haifa,63,66,54
2,17-07-16,18-07-16,Jerusalem,40,0,0
1,18-07-16,18-07-16,Jerusalem,40,44,43
2,17-07-16,18-07-16,Lod,56,0,0
1,18-07-16,18-07-16,Lod,56,44,49
2,17-07-16,18-07-16,Mizpe Ramon,38,0,0
1,18-07-16,18-07-16,Mizpe Ramon,38,41,30
2,17-07-16,18-07-16,Nazareth,60,0,0
1,18-07-16,18-07-16,Nazareth,60,54,48
2,17-07-16,18-07-16,Qazrin,38,0,0
1,18-07-16,18-07-16,Qazrin,38,41,40
2,17-07-16,18-07-16,Tel Aviv,71,0,0
1,18-07-16,18-07-16,Tel Aviv,71,56,57
2,17-07-16,18-07-16,Tiberias,35,0,0
1,18-07-16,18-07-16,Tiberias,35,36,45
2,17-07-16,18-07-16,Zefat,36,0,0
1,18-07-16,18-07-16,Zefat,36,34,45
2,18-07-16,19-07-16,Afula,44,39,39
